Organization,Opportunity Type,Eligibility Criteria,Application Link,Deadline
National Service Scheme (NSS),Volunteering (2-year commitment),Students in Class 11-12 and undergraduates/postgraduates at NSS-affiliated institutions,https://nss.gov.in,Rolling - enroll via your institution's NSS unit
Teach For India,2-Year Fellowship,"Graduates (any discipline), any age, Indian citizens or OCI",https://apply.teachforindia.org,Check website (multiple cohort rounds per year)
Gandhi Fellowship,2-Year Fellowship,Graduates under 26 years old,https://gandhifellowship.org,Check website (annual cycle)
Goonj,Volunteering / Internship,Open to all ages for volunteering; internship requires 1-month minimum full-time commitment,https://goonj.org/internship,Rolling
Goonj Fellowship,Fellowship,College students / young graduates,https://goonj.org,Check website (annual cycle)
Robin Hood Army,Volunteering (food distribution),Open to all; no age or skill restriction; zero-donation volunteer model,https://robinhoodarmy.com,Rolling
CRY (Child Rights and You),Volunteering / Internship,Students and young professionals interested in child rights,https://www.cry.org/get-involved/volunteer,Rolling
Pratham Education Foundation,Volunteering / Internship,Students and professionals interested in education,https://www.pratham.org,Rolling / project-based
Smile Foundation,Volunteering / Internship,"Students, professionals and groups",https://www.smilefoundationindia.org/volunteer.html,Rolling
United Nations Volunteers (UNV) India,Online / Onsite Volunteering,Graduates 18+; requirements vary by assignment,https://www.unv.org,Rolling - assignment-based
iVolunteer India,Volunteering / Fellowship placements,Students and professionals; varies by programme,https://ivolunteer.in,Rolling
Make A Difference (MAD),Volunteering (mentoring/education for children in shelters),College students and young professionals,https://makeadiff.in,Rolling; cohort-based onboarding
Akshaya Patra Foundation,Volunteering / Internship,Students and professionals interested in food security and education,https://www.akshayapatra.org/volunteer,Rolling
HelpAge India,Volunteering / Internship,Students and professionals interested in elder care,https://www.helpageindia.org,Rolling
Salaam Baalak Trust,Volunteering / Internship,Students and professionals interested in child welfare,https://salaambaalaktrust.com,Rolling
SEWA (Self Employed Women's Association),Volunteering / Internship,Students interested in women's livelihoods and rights,https://www.sewa.org,Rolling
Youth For Seva,Volunteering,Open to students and working professionals across India,https://youthforseva.org,Rolling
Bhumi,Volunteering (education & environment),Students and professionals; city-chapter based,https://bhumi.ngo,Rolling
Piramal Foundation,Fellowship,Graduates interested in rural education/healthcare leadership,https://piramalfoundation.org,Check website (annual cycle)
WWF India,Volunteering / Internship,Students interested in environment and wildlife conservation,https://www.wwfindia.org/get_involved,Rolling / project-based
Barefoot College,Volunteering / Internship / Fellowship,Students and professionals interested in rural development,https://www.barefootcollege.org,Check website (programme-based)
Dasra,Internship (research/strategy for social sector),Graduate/postgraduate students interested in philanthropy and social impact,https://www.dasra.org,Rolling
GiveIndia,Volunteering / Internship,Students and professionals interested in nonprofit tech and fundraising,https://www.give.do,Rolling
